,Date,ADANIPORTS,ADANIPOWER,APOLLOHOSP,ASIANPAINT,AUROPHARMA,BAJFINANCE,BALKRISIND,BANKBARODA,BERGEPAINT,BAJAJFINSV,CENTURYTEX,CUMMINSIND,ENGINERSIN,FEDERALBNK,IDFCFIRSTB,CASTROLIND,INDUSINDBK,JINDALSTEL,MCDOWELL-N,MOTHERSUMI,MUTHOOTFIN,NATIONALUM,ICICIPRULI,PIDILITIND,RELCAPITAL,SRTRANSFIN,TORNTPOWER,AMARAJABAT,APOLLOTYRE,BAJAJ-AUTO,BHARATFORG,HEROMOTOCO,HINDUNILVR,IBULHSGFIN,MANAPPURAM,TORNTPHARM,ULTRACEMCO,BHARTIARTL,KAJARIACER,TATAMOTORS,TATAMTRDVR
11,2021-06-16,706.700012,127.25,3294.199951,3018.699951,987.599976,6081.600098,2244.550049,84.400002,817.900024,11856.150391,581.349976,848.900024,83.650002,84.949997,58.549999,150.050003,1013.700012,407.350006,652.25,245.399994,1514.650024,69.949997,577.799988,2131.050049,23.5,1433.849976,467.799988,772.049988,233.0,4110.450195,731.849976,2975.399902,2407.899902,298.799988,167.699997,2890.199951,6587.399902,536.75,995.099976,349.350006,162.399994
12,2021-06-17,646.900024,120.900002,3240.600098,3060.300049,961.700012,6050.25,2304.100098,81.900002,820.299988,11818.549805,567.950012,839.400024,82.5,85.349998,57.799999,147.800003,984.049988,395.5,662.700012,239.600006,1482.699951,68.650002,589.950012,2127.350098,24.65,1411.400024,457.399994,763.400024,229.899994,4053.899902,725.049988,2914.100098,2417.699951,283.700012,163.399994,2953.899902,6704.850098,528.650024,974.5,345.649994,160.800003
13,2021-06-18,694.349976,114.900002,3221.5,3047.199951,952.450012,6087.049805,2292.0,80.199997,825.599976,11999.349609,566.150024,833.049988,81.0,83.849998,57.599998,147.199997,995.400024,388.350006,672.75,236.899994,1472.400024,67.650002,580.0,2125.550049,25.85,1380.0,455.350006,748.0,227.199997,4167.100098,726.849976,2891.350098,2482.899902,278.899994,160.199997,2897.699951,6693.899902,538.75,962.5,337.399994,154.949997
14,2021-06-21,731.049988,120.599998,3238.0,3068.550049,954.75,6116.0,2245.100098,82.400002,827.75,12156.400391,574.799988,824.900024,80.900002,85.349998,58.450001,146.949997,1007.549988,381.950012,671.150024,236.5,1486.75,68.800003,579.299988,2150.899902,27.1,1382.900024,463.350006,750.0,226.100006,4182.649902,729.599976,2894.850098,2514.350098,276.899994,160.649994,2920.399902,6775.5,539.599976,970.549988,334.299988,156.449997
15,2021-06-22,742.900024,126.599998,3258.199951,3010.800049,952.599976,6016.799805,2206.850098,81.849998,808.400024,12131.650391,592.799988,833.349976,81.900002,84.599998,58.099998,147.0,1000.099976,388.700012,673.849976,237.75,1506.699951,69.199997,602.450012,2147.850098,28.450001,1371.699951,458.75,747.049988,224.800003,4221.600098,741.200012,2907.050049,2490.25,275.549988,162.100006,2924.949951,6858.950195,536.400024,963.700012,337.899994,159.600006
16,2021-06-23,718.700012,125.949997,3244.800049,2987.350098,944.400024,6015.600098,2195.899902,82.300003,806.099976,12282.25,603.25,825.549988,81.599998,84.800003,57.75,145.75,999.549988,385.200012,663.700012,237.949997,1478.800049,69.0,605.349976,2133.149902,29.85,1366.800049,457.5,750.0,224.149994,4198.600098,730.849976,2928.350098,2480.5,268.149994,161.800003,2903.699951,6903.350098,534.049988,963.400024,335.25,156.350006
17,2021-06-24,709.900024,119.699997,3203.25,3043.25,938.200012,6043.600098,2242.449951,80.849998,813.200012,12333.25,602.150024,831.849976,80.849998,84.849998,56.900002,144.350006,1000.650024,386.399994,675.150024,236.100006,1466.150024,68.449997,601.049988,2156.149902,28.4,1363.900024,447.450012,741.299988,219.850006,4226.899902,735.549988,2906.949951,2490.149902,264.450012,160.050003,2885.300049,6961.950195,528.75,984.650024,334.649994,155.100006
18,2021-06-25,712.200012,116.75,3439.0,3003.899902,950.349976,6075.799805,2247.449951,83.5,806.049988,12486.599609,598.700012,857.950012,80.849998,85.75,58.25,145.600006,1012.900024,395.600006,664.200012,236.649994,1484.949951,73.449997,616.25,2134.25,27.0,1368.099976,452.0,745.25,221.25,4196.149902,741.400024,2939.199951,2448.649902,271.399994,164.050003,2886.25,6923.0,535.099976,993.900024,339.649994,155.699997
19,2021-06-28,716.25,118.199997,3454.149902,2982.949951,967.799988,6037.049805,2258.199951,87.800003,804.75,12377.900391,598.400024,871.900024,80.650002,87.349998,56.950001,144.0,1008.900024,408.350006,670.799988,235.300003,1489.949951,80.050003,619.599976,2155.199951,25.65,1372.550049,452.399994,750.900024,229.050003,4183.450195,738.849976,2943.649902,2460.199951,268.149994,164.100006,2936.050049,6869.450195,531.200012,996.200012,342.799988,157.699997
20,2021-06-29,711.0,116.300003,3591.149902,3001.5,967.200012,6052.399902,2242.649902,87.099998,804.349976,12299.900391,607.099976,850.950012,80.550003,86.5,55.849998,143.850006,1018.150024,398.950012,667.549988,236.5,1468.75,77.150002,614.700012,2161.75,25.25,1357.849976,454.850006,745.900024,226.449997,4124.649902,747.549988,2927.5,2492.550049,264.0,162.75,2922.25,6824.700195,524.950012,979.900024,341.549988,157.800003
